dataset,test_bat,seed,model,re,rmse,mae
NASA,B0006,3,gru,0.055045871559633,0.0245477942273217,0.019559924651962
NASA,B0006,3,det,0.091743119266055,0.0278892836820169,0.0238197701548614
NASA,B0006,3,model_v1,0.0458715596330275,0.0267652427578617,0.0214210759834997
NASA,B0006,4,lstm,0.0825688073394495,0.0280811660839934,0.0232994883203716
NASA,B0006,4,gru,0.073394495412844,0.0249557410470653,0.0187219820441212
NASA,B0006,4,det,0.0091743119266055,0.0583965085828481,0.0462983745106274
NASA,B0006,4,model_v1,0.110091743119266,0.0547399582130462,0.0466251832136314
NASA,B0006,5,lstm,0.091743119266055,0.0309912277240255,0.026068686824592
NASA,B0006,5,gru,0.0458715596330275,0.0267901956125183,0.0206289200261696
NASA,B0006,5,det,0.1009174311926605,0.0299559306644182,0.0250908902417698
NASA,B0006,5,model_v1,0.055045871559633,0.028268266047915,0.0226813894723066
NASA,B0007,1,lstm,0.3431952662721893,0.0623861673605971,0.0611876356281991
NASA,B0007,1,gru,0.3550295857988165,0.0716537100042725,0.0699180744278391
NASA,B0007,1,det,0.3846153846153846,0.1386926007772812,0.1074902223247055
NASA,B0007,1,model_v1,0.3846153846153846,0.0650136332857708,0.0631960254315183
NASA,B0007,2,lstm,0.3491124260355029,0.0663897852764895,0.065426402800196
NASA,B0007,2,gru,0.3313609467455621,0.0675962361225152,0.0653738139727262
NASA,B0007,2,det,0.378698224852071,0.095932098919991,0.0868158361716713
NASA,B0007,2,model_v1,0.3609467455621302,0.08546772026416,0.0802592142181185
NASA,B0007,3,lstm,0.3313609467455621,0.0592145448662824,0.055624303263749
NASA,B0007,3,gru,0.3846153846153846,0.0756220697807057,0.0745377624182645
NASA,B0007,3,det,0.3431952662721893,0.084581175604273,0.0784975490764581
NASA,B0007,3,model_v1,0.3846153846153846,0.0725279165801364,0.0688250530225505
NASA,B0007,4,lstm,0.3491124260355029,0.0641451453604218,0.0630059018080257
NASA,B0007,4,gru,0.3491124260355029,0.0697005050562889,0.0679097648765253
NASA,B0007,4,det,0.2130177514792899,0.0893619354814629,0.0560944034858684
NASA,B0007,4,model_v1,0.3550295857988165,0.0990445367523369,0.0868577448596867
NASA,B0007,5,lstm,0.3431952662721893,0.0576136751337059,0.0560634028903525
NASA,B0007,5,gru,0.3609467455621302,0.080551388983284,0.0764613309163399
NASA,B0007,5,det,0.3609467455621302,0.0652263902780837,0.0639879611808216
NASA,B0007,5,model_v1,0.3668639053254438,0.0612542499011845,0.0594948855326572
NASA,B0018,1,lstm,0.0412371134020618,0.0176092222169303,0.0121321765703345
NASA,B0018,1,gru,0.0618556701030927,0.0292363273184536,0.0212426240261817
NASA,B0018,1,det,0.1546391752577319,0.0227015358819269,0.0189571042721316
NASA,B0018,1,model_v1,0.0309278350515463,0.0189260326393163,0.0150046734430183
NASA,B0018,2,lstm,0.0309278350515463,0.0179798867902609,0.012057077356699
