,dataset,test_bat,seed,model,re,rmse,mae
72,NASA,B0018,4,lstm,0.030927835051546393,0.01611149317956884,0.011888134802084834
73,NASA,B0018,4,gru,0.0,0.02675943849492006,0.018668308989115555
74,NASA,B0018,4,det,1.0,0.04451665825750775,0.03864379695483901
75,NASA,B0018,4,model_v1,0.010309278350515464,0.02277881811443005,0.016106005489198008
76,NASA,B0018,5,lstm,0.020618556701030927,0.015972594156418895,0.01270329888974486
77,NASA,B0018,5,gru,0.010309278350515464,0.021188369301828484,0.014325178233024123
78,NASA,B0018,5,det,0.010309278350515464,0.015800395923051005,0.012389098847556842
79,NASA,B0018,5,model_v1,0.020618556701030927,0.015170452508640294,0.011826225985032543
80,CALCE,CS2_35,1,lstm,0.0124804992199688,0.03461160599690662,0.02962127078261791
81,CALCE,CS2_35,1,gru,0.0031201248049922,0.03823738968325044,0.03576692184410272
82,CALCE,CS2_35,1,det,0.0390015600624025,0.03187375671162676,0.02707817522804297
83,CALCE,CS2_35,1,model_v1,0.0265210608424337,0.023567806021897803,0.0175611041862796
84,CALCE,CS2_35,2,lstm,0.0062402496099844,0.019036529508717197,0.014964318057345933
85,CALCE,CS2_35,2,gru,0.0249609984399376,0.03502625331421471,0.03249910104154608
86,CALCE,CS2_35,2,det,0.057722308892355696,0.026775237473782135,0.022435001531396867
87,CALCE,CS2_35,2,model_v1,0.0015600624024961,0.02944971194784908,0.02539682725416012
88,CALCE,CS2_35,3,lstm,0.0046801872074883,0.015783089300287195,0.011808664687293398
89,CALCE,CS2_35,3,gru,0.0078003120124804995,0.0212955335204031,0.01727050599493534
90,CALCE,CS2_35,3,det,0.060842433697347896,0.016112547475518647,0.012684370420218269
91,CALCE,CS2_35,3,model_v1,0.0093603744149766,0.03183194022767738,0.02537987511232618
92,CALCE,CS2_35,4,lstm,0.0093603744149766,0.017132729462274152,0.01304564915645601
93,CALCE,CS2_35,4,gru,0.0358814352574103,0.06401368393863938,0.05519164993360863
94,CALCE,CS2_35,4,det,0.078003120124805,0.02407184985096075,0.02084823113444984
95,CALCE,CS2_35,4,model_v1,0.0046801872074883,0.04144106322920859,0.034983193291099716
96,CALCE,CS2_35,5,lstm,0.0031201248049922,0.04919341730090488,0.045500480591789454
97,CALCE,CS2_35,5,gru,0.0327613104524181,0.017295373161481786,0.013646232929984726
98,CALCE,CS2_35,5,det,0.0452418096723869,0.04109231011649021,0.03393906218541678
99,CALCE,CS2_35,5,model_v1,0.0171606864274571,0.03233859104076373,0.02571475648917985
100,CALCE,CS2_36,1,lstm,0.2648752399232246,0.03970773294811903,0.03743669321718683
101,CALCE,CS2_36,1,gru,0.33013435700575816,0.01974410990518193,0.015757739691798195
102,CALCE,CS2_36,1,det,0.29558541266794625,0.021248934956563603,0.015597908970711049
103,CALCE,CS2_36,1,model_v1,0.255278310940499,0.0243698106961592,0.020540546882305735
104,CALCE,CS2_36,2,lstm,0.2437619961612284,0.027023708876288383,0.02343895778211497
105,CALCE,CS2_36,2,gru,0.1785028790786948,0.07173955358394553,0.06948327166041703
106,CALCE,CS2_36,2,det,0.29174664107485604,0.033692409646309554,0.02974035303476451
107,CALCE,CS2_36,2,model_v1,0.2687140115163148,0.02834827995148551,0.02438125034298813
108,CALCE,CS2_36,3,lstm,0.2437619961612284,0.024754069208122637,0.02112660198945168
