dataset,test_bat,seed,model,re,rmse,mae,time
NASA,B0007,2,model_v2_2,0.3609467455621302,0.0668764176221202,0.0652699604758755,86.5159080028534
NASA,B0007,2,model_v4_1,0.378698224852071,0.0684556946043081,0.0666773924866259,208.07873439788816
NASA,B0007,2,model_v5,0.3609467455621302,0.0657241463283802,0.0639218989766227,97.06668996810912
NASA,B0007,3,model_v2_2,0.4142011834319526,0.0784465677022311,0.0772444408929152,88.4182996749878
NASA,B0007,3,model_v4_1,0.4852071005917159,0.0982816383354254,0.0912247582424426,208.9804892539978
NASA,B0007,3,model_v5,0.4142011834319526,0.0871212175606259,0.0843354695209217,97.48633885383606
NASA,B0007,4,model_v2_2,0.3964497041420118,0.0665138579731964,0.0649748991743138,88.0242190361023
NASA,B0007,4,model_v4_1,0.3076923076923077,0.0524505247234338,0.0457084367703494,209.28435516357425
NASA,B0007,4,model_v5,0.3609467455621302,0.0695069806914245,0.06847525478887,96.13049793243408
NASA,B0007,5,model_v2_2,0.3136094674556213,0.059572903709011,0.0576339233381022,87.90009212493896
NASA,B0007,5,model_v4_1,0.378698224852071,0.0701298784921755,0.065713267489169,208.2748785018921
NASA,B0007,5,model_v5,0.3491124260355029,0.0631634128926485,0.0616305148905125,95.78956294059752
NASA,B0018,1,model_v2_2,0.2371134020618556,0.0481702740736139,0.0441646877962605,88.44013357162476
NASA,B0018,1,model_v4_1,0.2268041237113402,0.0265550915606053,0.0240387927346131,217.23237800598145
NASA,B0018,1,model_v5,0.2783505154639175,0.0321640690211735,0.0284933699128431,98.88841915130617
NASA,B0018,2,model_v2_2,0.3092783505154639,0.0195337912105168,0.0156872510053036,94.35291743278503
NASA,B0018,2,model_v4_1,0.1958762886597938,0.018294216930651,0.015717288297891,207.93905568122864
NASA,B0018,2,model_v5,0.1546391752577319,0.0172693692406283,0.0135988894803865,96.99514746665956
NASA,B0018,3,model_v2_2,0.1855670103092783,0.0218268290532032,0.0197240573396398,88.7777042388916
NASA,B0018,3,model_v4_1,0.1649484536082474,0.028400558249784,0.025390505946196,207.99004864692688
NASA,B0018,3,model_v5,0.3298969072164948,0.0247376381431654,0.019236092824132,96.29853892326356
NASA,B0018,4,model_v2_2,0.2577319587628865,0.0275424061826959,0.0236741123393993,90.2123486995697
NASA,B0018,4,model_v4_1,0.0515463917525773,0.0211287743060806,0.018134528200882,211.4909212589264
NASA,B0018,4,model_v5,0.2371134020618556,0.0185946301772178,0.0134784377504128,96.58900022506714
NASA,B0018,5,model_v2_2,0.1752577319587628,0.0318127124855045,0.0287658236459801,88.63300228118896
NASA,B0018,5,model_v4_1,0.2371134020618556,0.0380900600473947,0.0346949969659162,210.3647232055664
NASA,B0018,5,model_v5,0.1546391752577319,0.0176907813797661,0.0139953826158248,96.73845195770264
CALCE,CS2_35,1,model_v2_2,0.0046801872074883,0.0173168375088544,0.0141825050581136,551.5969042778015
CALCE,CS2_35,1,model_v4_1,0.0483619344773791,0.0210738607331283,0.0173893361253131,1305.123278617859
CALCE,CS2_35,1,model_v5,0.0280811232449297,0.0339216218755043,0.0294939197796493,602.067880153656
CALCE,CS2_35,2,model_v2_2,0.0530421216848674,0.0333295973339371,0.02689259296333,551.252302646637
CALCE,CS2_35,2,model_v4_1,0.0842433697347894,0.0425667453067498,0.034768026213816,1290.2155933380127
CALCE,CS2_35,2,model_v5,0.0967238689547582,0.0316613171863697,0.0261915345919278,603.690468788147
CALCE,CS2_35,3,model_v2_2,0.1029641185647426,0.0412692232046384,0.0373025519062387,550.1646201610565
CALCE,CS2_35,3,model_v4_1,0.0920436817472698,0.0589643941567541,0.0498248778408983,1293.8772840499878
CALCE,CS2_35,3,model_v5,0.1248049921996879,0.0169136772723713,0.0126627528165403,605.4340481758118
CALCE,CS2_35,4,model_v2_2,0.1170046801872074,0.0190161027289,0.0159318104570802,550.3431119918823
CALCE,CS2_35,4,model_v4_1,0.1092043681747269,0.0215397765811054,0.0164368528355084,1355.637925863266
CALCE,CS2_35,4,model_v5,0.1092043681747269,0.0137466041364357,0.0105133311471724,648.9409534931183
